,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for
525,1 BHK in Sholinganallur,"Standalone Building, Old Mahabalipuram Rd, Near Infosys",11000,11000,400,Full Furnished,5-10 years ,All
526,"3 BHK in Maxwell Trinity, Porur","12th Cross, Lakshmi Nagar , Near Lakshmi Nagar Bus Stop,",23000,100000,1300,Full Furnished,5-10 years ,All
527,1 RK in Adyar,"Independent House, Arunachalapuram 1st Street,near Fortis Malar H ...",6000,50000,250,UnFurnished,3-5 years ,Family
528,2 BHK in Aminjikarai,"Independent House, Arunachalapuram Street, Near M.r. Hospital,",16000,100000,900,Semi Furnished,5-10 years ,All
529,"2 BHK in Anugraha, Perungudi","Kurunji Nagar, Near Plaza Green Acres",18000,100000,1200,Semi Furnished,1-3 years ,Family
530,2 BHK in Perungalathur,"Standalone Building, Eb Colony Near Shri Madhurakali Amman Kain ...",10000,50000,950,UnFurnished,Newly Constructed,Family
531,"3 BHK in Amarprakash Temple Waves, Chromepet","Kundrathur Main Road, Pkv Maha Nagar, Near Thiruneermalai Temple, ...",-,50000,910,Semi Furnished,Newly Constructed,All
532,"1 BHK in Pink House, Triplicane","Swami Pillai Street, Near Kellet Higher Secondary School",10000,100000,600,UnFurnished,>10 years ,All
533,"3 BHK in India Aashirwad Ashoknagar, Ashok Nagar",Near Hdfc Bank Branch / Atm,40000,300000,1650,Semi Furnished,Newly Constructed,Family
534,"2 BHK in Thirumalai Castle, Thoraipakkam","3rd Cross St, Anand Nagar, Near Chennai One Software Park",14000,50000,1200,UnFurnished,5-10 years ,Family
535,2 BHK in Pallikaranai,"Standalone Building, Velachery - Tambaram Main Rd Near Mpl Silic ...",25000,100000,940,Full Furnished,3-5 years ,All
536,2 BHK in India,"Independent House, Mmda Colony, Near Government Higher Secondary ...",14500,100000,1000,Semi Furnished,>10 years ,Family
537,2 BHK in Tiru Vi Ka Nagar,"Standalone Building, Perambur Near Esi Hospital",15000,150000,1200,Semi Furnished,5-10 years ,Family
538,"3 BHK in Saileja Alps, Tambaram","3rd Main Rd, Annai Indra Nagar,ttk Nagar, Near Pillayar Temple",20000,100000,1333,Semi Furnished,3-5 years ,All
539,"2 BHK in Sai Bansi, Nanmangalam",Manikandan Nagar Near Pole Star Matriculation School,9000,60000,900,Semi Furnished,5-10 years ,Family
540,1 BHK in Aminjikarai,"Independent House, Choolaimedu Rajaram Mehta Nagar, Officers Colo ...",7000,56000,380,UnFurnished,5-10 years ,Family
541,1 BHK in New Perungalathur,"Independent House, Srinivasa Nagar, Near Indian Overseas Bank",6000,20000,400,Semi Furnished,5-10 years ,Family
542,2 BHK in Madambakkam,"Independent House, Madambakkam Main Rd, Near Shri Dhenupureeswara ...",8000,40000,625,UnFurnished,Newly Constructed,All
543,"2 BHK in Sumithra, Valasaravakkam","Ashtalakshmi Nagar, 3rd Street Near Devi Academy Senior Secondary ...",9000,50000,750,UnFurnished,>10 years ,Family
544,2 BHK in Triplicane,"Independent House, Janijhonson Rd Near Zam Bazaar Police Station",14000,100000,700,UnFurnished,>10 years ,Family
545,"2 BHK in Apartment, Tambaram East",Mahalakshmi Street Near Sri Sankara Vidyalaya Matriculation Highe ...,11000,55000,750,Semi Furnished,>10 years ,All
546,"2 BHK in vasanth flats, Keelkattalai","Kumaran Nagar, Near Reliance Digital",15000,90000,760,Semi Furnished,>10 years ,Family
547,"2 BHK in serial enclave, Virugambakkam","Sai Nagar, Near Gowri Medicals",16000,100000,916,Semi Furnished,Newly Constructed,All
548,"2 BHK in Brindavan Flats, Chromepet","Lakshmipuram, Near Durgai Amman Temple And Lions Club Of Lakshmip ...",10000,45000,750,Semi Furnished,5-10 years ,All
549,"2 BHK in Amutha flats, Nanmangalam","2nd Street Muthiya Nagar, Nanmangalam, Chennai-600117, Tamil Nadu ...",11000,100000,930,UnFurnished,1-3 years ,Family
550,1 BHK in Madambakkam,"Independent House, Madambakkam Main Rd, Near Hp Petrol Bunk And A ...",10000,60000,1000,UnFurnished,5-10 years ,All
551,2 BHK in Madipakkam,"Independent House, 13th Street Karthikeyapuram Near Navasakthi Ka ...",12500,80000,800,UnFurnished,5-10 years ,Bachelors
552,3 BHK in Kilpauk,"Standalone Building, New Avadi Rd, Near Gangas Pharmacy",22000,220000,1000,Semi Furnished,>10 years ,Family
553,"1 RK in Sharda Kutir, Mandaveli",(ra Puram) Pattamal Street Near Sri Venugopal Vidyalaya Matricula ...,6000,36000,200,Semi Furnished,Newly Constructed,Bachelors
554,"2 BHK in TNHB Flats, Tambaram Sanatoruim","4th Cross Street, Durga Nagar, Near Manav Packaging Private Limit ...",8000,40000,750,UnFurnished,>10 years ,Family
555,"2 BHK in nest grandeur, Semmenchery","Kamaraj Nagar,behind Ambrosia Apartments",15000,60000,1030,UnFurnished,Newly Constructed,Family
556,"2 BHK in Vishal Apartment, Royapettah","Royapettah High Rd, Azad Nagar Near Hotel Swagath",40000,100000,900,Semi Furnished,>10 years ,All
557,"3 BHK in DLF GARDEN CITY, Thalambur",Semmancheri Near Psbb Millennium School,20000,120000,1600,Semi Furnished,5-10 years ,Family
558,"2 BHK in stand alone building, Ayappakkam","Ayya Pakkam Main Rd ,subash Nagar Near Barbecue World",10000,50000,950,UnFurnished,Newly Constructed,Family
559,3 BHK in Keelkattalai,"Standalone Building, Thiruvalluvar Nagar, Near Arulmigu Shakthive ...",17000,100000,1360,Semi Furnished,Newly Constructed,All
560,"2 BHK in M R Apartments, Mandaveli,",Sringeri Mutt Rd Near Sri Venugopal Vidyalaya Matriculation Highe ...,19000,100000,800,UnFurnished,>10 years ,Family
561,"3 BHK in Lakshmi Enclave, T Nagar",Near Jain Marriage Hall,60000,720000,2100,UnFurnished,>10 years ,All
562,"2 BHK in AP, Saligramam","Vgn Street, Near General Cariappa Higher Secondary School",15000,100000,910,Semi Furnished,1-3 years ,Family
563,"2 BHK in Tnhb Mig Plot, Sholinganallur","Sholinganallur, Behind Infosys, Chennai, Tamil Nadu, India.",13000,65000,778,UnFurnished,Newly Constructed,Family
564,"2 BHK in SRI HARI HARA APRTMENTS, Thirumullaivoyal","Chennai - Tiruvallur High Rd,near Palrajan Stores",8000,50000,1000,UnFurnished,5-10 years ,All
565,2 BHK in Madambakkam,"Independent House, Guduvanchery, Near Sai Baba Temple Ttc Nagar ...",5000,25000,700,UnFurnished,>10 years ,Family
566,2 BHK in Tondiarpet,"Independent House, Thiruvottiyur High Rd, Near Lakshmi Amman Koil ...",14000,100000,1000,Semi Furnished,>10 years ,All
567,"1 RK in Chitlapakkam, Chennai, Tamil Nadu, India","Independent House, Near Vivekananda School, Babu Street Park",5000,25000,300,Full Furnished,1-3 years ,All
568,1 BHK in Medavakkam,"Standalone Building, Near Hot Chips Restaurant",6000,40000,600,UnFurnished,5-10 years ,Family
569,"2 BHK in Lasya Apt, Madipakkam",Karthikeyapuram Near Karthikeyapuram Cooperative Community Hall,11000,55000,924,Semi Furnished,5-10 years ,Family
570,"1 BHK in Hansa Courtyard, Tiruvottiyur","643, Thiruvottiyur High Road, Soundara Pandianar Nagar, Tiruvotti ...",7500,75000,550,Semi Furnished,5-10 years ,Family
571,2 BHK in Selaiyur,"Standalone Building, East Tambaram , Camp Road Junction, Near Med ...",10000,50000,1200,UnFurnished,3-5 years ,Family
572,"3 BHK in Majestic Flats, Ashok Nagar","21st Ave, Near Marhaba Mini Function Hall",26000,150000,1400,Semi Furnished,5-10 years ,Family
573,1 RK in Selaiyur,"Standalone Building, East Tambaram , Camp Road Junction, Near Med ...",6000,30000,500,UnFurnished,3-5 years ,All
574,"3 BHK in KARUNAKARAN HOUSE, Velachery,","Near San Academy School, V.o.c Nagar, Vijaya Nagar",22000,80000,1700,Semi Furnished,5-10 years ,All
575,2 BHK in Shenoy Nagar,"Standalone Building, Bharathi Puram Near Sai Baba Temple",15000,90000,900,Semi Furnished,5-10 years ,Family
576,1 BHK in Pallavaram,"Independent House, Antony Street, Gandhi Nagar, Nagalkeni",8000,35000,850,Semi Furnished,3-5 years ,All
577,1 BHK in Medavakkam,"Standalone Building, Velachery - Tambaram Main Rd, Near Dindigul ...",9000,40000,450,UnFurnished,Newly Constructed,Bachelors
578,2 BHK in Chromepet,"Standalone Building, Santhi Nagar, Near Sdnb Vaishnav College For ...",10500,100000,620,Semi Furnished,3-5 years ,All
579,2 BHK in K K Nagar,"Independent House, Alagiri Sami Salai, Near Padma Seshadri Bala B ...",16000,70000,900,UnFurnished,5-10 years ,Family
580,2 BHK in Medavakkam,"Standalone Building, Sai Ganesh Nagar Near Sai Baba Temple",11000,50000,1000,UnFurnished,5-10 years ,Family
581,"3 BHK in shivasheesh, Kovilambakkam","Ganapathy Nagar, Near Sri Rani Mahal",18000,100000,2200,Semi Furnished,1-3 years ,Family
582,"1 BHK in Amaravathi Firm Foundation, Ambattur","Palaniyappa Nagar, Near Prabhavathy Shesha Mahal",7000,50000,550,Semi Furnished,5-10 years ,Family
583,"4 BHK in Nelson Court, Aminjikarai","Nelson Manickam Road, Near Pantaloons And Sangeetha Veg. Restaura ...",40000,250000,2800,Semi Furnished,>10 years ,All
584,"2 BHK in Sadhana, Shenoy Nagar",Sixth Cross Street,21000,100000,1000,UnFurnished,>10 years ,All
585,1 BHK in Tambaram,"Independent House, Iyyapan Street, Sundaram Colony, Near Iyyappan ...",7500,40000,600,UnFurnished,1-3 years ,All
586,1 BHK in Rajakilpakkam,"Independent House, Kamarajapuram Main Road, Tellus Avenue Phase 2 ...",6500,20000,700,Semi Furnished,1-3 years ,All
587,"2 BHK in Marutham Gateway, Tambaram","Sai Nagar, Tambaram, Chennai - 600059, Tamil Nadu, India.",11000,50000,1000,Semi Furnished,3-5 years ,Family
588,"3 BHK in Vaikund Sundaram, Karappakam","Vendarasi Amman Koil Street, Karapakkam, Chennai",20000,120000,1345,Semi Furnished,1-3 years ,All
589,1 BHK in Velachery,"Independent House, 5th Street,near Vijaya Clinic,",10000,40000,550,Semi Furnished,>10 years ,All
590,"2 BHK in Three Stars Flats, Valasaravakkam",State Bank Staff Colony Near Kalyaani Thirumana Mandapam,9500,50000,700,Semi Furnished,>10 years ,All
591,"2 BHK in Subhiksham, Chromepet",Radha Nagar Main Rd Near St.marks Matriculation Higher Secondar,10000,50000,900,UnFurnished,>10 years ,Family
592,"2 BHK in Thai illam, Nolambur","Srr Nagar, Near Citilights Meadows",12000,100000,800,UnFurnished,5-10 years ,All
593,3 BHK in Adyar,"Independent House, Besant Ave Rd, Near Adyar Post Office & Amelio ...",22000,110000,1000,Semi Furnished,>10 years ,Family
594,3 BHK in Kottivakkam,"Standalone Building, Thulukanathamman Koil St,near Adyar Bakery P ...",25000,100000,1300,UnFurnished,1-3 years ,Family
595,"2 BHK in Apartment, Perungudi",Santhi Nagar Near Royal Enfield Omr Brand Store,20000,200000,964,Semi Furnished,3-5 years ,All
596,2 BHK in Taramani,"Standalone Building, Kalangayar Nagar Near Pillayar Koil Ganesh T ...",12000,70000,850,UnFurnished,1-3 years ,Family
597,1 BHK in Ayanavaram,"Standalone Building, Thiruvalluvar Nagar, Near Esi Hospital",9000,90000,550,UnFurnished,3-5 years ,Family
598,"2 BHK in one onr, Choolaimedu",Padmanabanagar Main Road Near Ponnammal Memorial Matriculation Hi ...,16000,60000,700,Semi Furnished,5-10 years ,Family
599,2 BHK in Anna Nagar West Extension,"Standalone Building, Park Road, Near Sboa School, West Gate",20000,200000,1200,Semi Furnished,1-3 years ,Family
600,3 BHK in Mogappair East,"Standalone Building, Golden George Nagar, Near Sbioa Model Matric ...",23000,230000,1500,Semi Furnished,Newly Constructed,All
601,"2 BHK in Jbm Mitra, Pallikaranai","9th Cross, Kamakoti Nagar, Near Lakshmi Balaji Temple",13000,90000,1030,Semi Furnished,1-3 years ,Family
602,"2 BHK in Shakthi Abhirami Flat, Thirumullaivoyal",5th Right St Near Hp Petrol Bunk,9000,35000,1032,Semi Furnished,Newly Constructed,Family
603,1 RK in Mugappair West,"Standalone Building, Brindavana Colony 2nd Street Near Velammal M ...",5000,20000,250,UnFurnished,3-5 years ,Bachelors
604,"2 BHK in Mahadev Flats, Ullagaram","4th Main Road, Hindu Colony, Near New Prince Matriculation Higher ...",8500,50000,750,UnFurnished,3-5 years ,All
605,2 BHK in Sholinganallur,"Standalone Building, Dollar Stop Near Accenture",12500,25000,1200,Semi Furnished,3-5 years ,Bachelors
606,"1 RK in RV Medows, west mambalam","Raju Street, Near Ramakrishna Kalyana Mandapam",15000,100000,600,Semi Furnished,Newly Constructed,Bachelors
607,"3 BHK in shrerose apartment, Pammal","Bhavani Nagar,near Pammal Subregistrar Office",10000,100000,1200,UnFurnished,3-5 years ,All
608,"1 BHK in Egb Shantham Apartments, Thoraipakkam","No 48/flat No Block 2,f2 Flat Egb Shantham,madha Koil Street,sakt ...",9000,20000,650,UnFurnished,1-3 years ,Family
609,3 BHK in Velachery,"Standalone Building, Tamilnadu Housing Board Colony, Near Denatur ...",13500,50000,1000,UnFurnished,5-10 years ,All
610,"3 BHK in Prajwal Suraj, Virugambakkam","Main Road,near Chennai Corporation Marriage Hall",22000,132000,1300,Semi Furnished,5-10 years ,Family
611,"3 BHK in Casagrand Elan Rd, Semmancheri","Casagrand Elan Rd, Semmancheri, Chennai, Tamil Nadu 600130, India ...",20000,150000,1950,Semi Furnished,Newly Constructed,Family
612,2 BHK in Velachery,"Standalone Building, Bharathiyar Street, Nehru Nagar, Near Arulmi ...",-,600000,715,UnFurnished,5-10 years ,Family
613,2 BHK in New Perungalathur,"Independent House, Perumal Koil St, Near Sri Lakshmi Store And Sr ...",12000,40000,800,UnFurnished,>10 years ,Family
614,"1 BHK in jayalakshmi enclave, Pallikaranai","A G S Colony,near San Academy",5000,40000,550,UnFurnished,3-5 years ,All
615,"3 BHK in Bagyalakshmi Block - 1, Bagyalakshmi Block - 1, Ganapath ...","Medavakkam Main Rd, Near Sri Rani Mahal",18000,60000,1250,Semi Furnished,5-10 years ,Family
616,3 BHK in Chromepet,"Independent House, Ramzan Street Near Reliance Trends",11000,66000,1200,UnFurnished,Newly Constructed,Family
617,"2 BHK in Royale phase 2, Valasaravakkam","Vijaya Nagar, Near Friends Park",16000,150000,900,Semi Furnished,3-5 years ,Family
618,"2 BHK in Crest Dusica Phase III, Pammal","Anakaputhur, Chennai",8000,70000,900,UnFurnished,1-3 years ,Family
619,3 BHK in Vadapalani,"Independent House, Arcot Road Near Ram Theatre Bus Stop And Fast ...",45000,400000,2000,Semi Furnished,>10 years ,All
620,2 BHK in Ambattur,"Independent House, Old Twp Rd, Venkatapuram, Near Mother's Specia ...",15000,150000,700,UnFurnished,1-3 years ,Company
621,"2 BHK in Grahalaya, Vadapalani","Ngo Colony Rd, Pillayar Koil Street, , Near Hotel Ambica Empire",14000,100000,800,Semi Furnished,5-10 years ,Family
622,"3 BHK in Vinayaka Homes, Keelkattalai","2nd Main Rd, Gokulam Nagar, Near Singapore Twin House..",13500,60000,1000,UnFurnished,5-10 years ,All
623,"3 BHK in Casa Grande Urbano, Venkatamangalam","Near Madras, Ponmar, Venkatamangalam, Vengadamangalam, Tamil Nadu ...",16000,160000,2500,Semi Furnished,1-3 years ,Family
624,"2 BHK in Ruby Ashok Manor, Selaiyur","Manickam Avenue, Selaiyur, Chennai-600126, Tamil Nadu, India.",14000,50000,875,Semi Furnished,5-10 years ,Family
625,1 BHK in Triplicane,"Standalone Building, Narayana Krishnaraja Puram, Near Sangeetha V ...",7500,75000,400,UnFurnished,>10 years ,All
626,"3 BHK in Lakshmi Srinivasa Flats, Kattupakkam",Moovendhar Nagar Near Prestige Bella Vista,20000,100000,1170,Semi Furnished,3-5 years ,Family
627,1 BHK in Palavakkam,"Standalone Building, Near M.m.tyres, East Coast Road, Pallavakam",12000,50000,575,Semi Furnished,1-3 years ,All
628,"2 BHK in Unity Apartment, Annanagar East","R.v. Nagar, Voc Nagar, Near Sakthi Stores",26000,250000,1000,Semi Furnished,>10 years ,All
629,2 BHK in Shenoy Nagar,"Standalone Building, Lakshmi Talkies Road,near Billroth Hospitals ...",22000,132000,900,Full Furnished,Newly Constructed,All
630,1 RK in Madhanandapuram,"Standalone Building, Mangadu Main Rd, Near Narayana E-techno Scho ...",5000,30000,180,Semi Furnished,1-3 years ,Bachelors
631,1 RK in Pallikaranai,"Standalone Building, Vallal Pari Nagar 2nd Main Road , Near Kanna ...",4000,20000,300,UnFurnished,3-5 years ,All
632,"2 BHK in Sundara vadivel thamil illam, Poonamalle","4th Street, Shrishti Sai Nagar Layout, Srinivasa Nagar,, Near Sri ...",8000,40000,600,UnFurnished,Newly Constructed,Family
633,4 BHK in Vadapalani,"Independent House, Sarvamangala Colony Near Vengeeswarar Temple",42000,420000,1800,Semi Furnished,5-10 years ,All
634,"1 BHK in Antonys The Pebbles, Sithalapakkam","Sithalapakkam, Chennai - 600073, Tamil Nadu, India.",10000,50000,800,Full Furnished,5-10 years ,All
635,"2 BHK in Aiysvariyaa Sri Sai Baba Enclave, Kolathur",Thirumalai Nag Near Drj Hospital,12000,60000,750,Semi Furnished,1-3 years ,All
636,2 BHK in Kotturpuram,"Independent House, Surya Nagar Near Anna Centenary Library",14000,100000,600,Semi Furnished,3-5 years ,All
637,"3 BHK in Taraka, Thirumullaivoyal","Palli Pillayar Koil Street, Near Pachai Amman Koil",10000,30000,1076,Semi Furnished,Newly Constructed,All
638,2 BHK in Old Pallavaram,"Independent House, Pv Vaithiyalingam Rd,near Nagathamman Temple",7000,20000,600,UnFurnished,3-5 years ,All
639,1 BHK in medavakkam,"Standalone Building, Sivagami Nagar, Near New Prince Shri Bhavan ...",8000,40000,600,Semi Furnished,Newly Constructed,Family
640,"1 RK in Stand Alone Building, Medavakkam","Patel Road, Near New Prince Shri Bhavani Arts And Science Colleg ...",4500,55000,350,UnFurnished,Newly Constructed,Bachelors
641,3 BHK in Ramapuram,"Independent House, Meenakshi Nagar, Opp Dlf It Park, Mount Poonam ...",20000,100000,1500,Semi Furnished,>10 years ,Family
642,"2 BHK in Padmalaya, Kottur","Perumal Koil Street, Near Perumal Koil Temple",18000,60000,850,Semi Furnished,5-10 years ,All
643,2 BHK in Koyambedu,"Standalone Building, Nerkundram,near Csi Immanuel Chruch",15000,45000,700,Semi Furnished,Newly Constructed,Family
644,"2 BHK in Diya flats, Madipakkam","Vaigai Street, Ram Nagar South 8th Cross, Near Mpl Silicon Towers ...",13000,70000,950,Semi Furnished,3-5 years ,Family
645,"2 BHK in Subhashree, Virugambakkam",Thangal Street Near A.k.r. Mahal,16000,100000,700,Semi Furnished,>10 years ,All
646,"3 BHK in Chandrasekars Green Park, Kovilambakkam","Opposite Kamakshi Memorial Hospital, S.kolathur, Kovilambakkam, C ...",20000,100000,1210,Semi Furnished,Newly Constructed,Family
647,"3 BHK in Bbcl Stanburry, Manapakkam","Old No: 56, New No: 79, Mgr Road, Manapakkam, Chennai, Tamil Nadu ...",55000,600000,2300,Full Furnished,Newly Constructed,All
648,2 BHK in Poonamallee,"Independent House, Vaithiyar Nagar Near Grt Jewellers",7000,21000,750,UnFurnished,Newly Constructed,Family
649,"2 BHK in MF Vruksha, Nanmangalam,Kovilambakkam","Mount - Medavakkam Main Road, Nanmangalam, Chennai",13000,50000,970,Semi Furnished,3-5 years ,Family
650,"2 BHK in Apartment, Selaiyur","Pillayar Kovil Street, Secretariat Colony Near Pick And Pack Sup ...",9500,50000,1200,UnFurnished,1-3 years ,Family
651,3 BHK in Kanathur,"Independent House, East Coast Rd, Near Mayajaal Resorts",45000,300000,2500,Semi Furnished,5-10 years ,Family
652,"3 BHK in Ceebros Saptagiri Heights, Sholinganallur","Tnhb, Sholinganallur, Chennai, Tamil Nadu 600119, India",23000,80000,1516,Semi Furnished,Newly Constructed,Family
653,"2 BHK in sai nivas, Nanmangalam","5 Th St.siddartha Nager, Near Antony Appartments Gateway. And Jj ...",8000,40000,650,Semi Furnished,Newly Constructed,Family
654,1 BHK in Palavakkam,"Independent House, Periyar Salai, Krishna Nagar, Near M.s. Marria ...",12000,75000,600,UnFurnished,Newly Constructed,Family
655,"3 BHK in Casagrand, Semmancheri","Casagrand Elan Rd, Semmancheri, Chennai, Tamil Nadu 600130, India ...",23000,138000,2000,Semi Furnished,Newly Constructed,All
656,"3 BHK in sri sai kripa, Manapakkam",Ramachandra Colony Near Grows Supermarket,24000,144000,1250,Full Furnished,1-3 years ,All
657,1 BHK in Tambaram,"Independent House, Kamatchi Nagar 1st Street, Tambaram Sanatorium ...",10000,30000,860,Semi Furnished,>10 years ,Family
658,1 BHK in Neelankarai,"Standalone Building, Narayana Nagar Near Domino's Pizza",9000,90000,900,UnFurnished,Newly Constructed,All
659,"2 BHK in Apartment, Anna Nagar","Near Punjab National Bank , 4th Main Road, Anna Nagar",20000,200000,700,UnFurnished,>10 years ,Family
660,"4 BHK in Bollineni Hillside, Sithalapakkam","Perumbakkam Road, Nookampalayam, Arasankazhani, Sithalapakkam, Ch ...",25000,250000,2002,Semi Furnished,3-5 years ,All
661,"3 BHK in Aksharas Flat, Perumbakkam","Perumbakkam Main Rd, Near Perumbakkam Advent Christian Church",16000,50000,1168,UnFurnished,Newly Constructed,Family
662,2 BHK in Kulattur,"Standalone Building, Kovilambakkam Pmd Nagar Near Vijay Raja Thir ...",15000,150000,800,UnFurnished,3-5 years ,All
663,"2 BHK in Sarah Villa, Selaiyur","Kasbapuram Main Rd, Near Mav Mumurthy Avenue/vaibhav's Apartment",6500,39000,900,UnFurnished,5-10 years ,Family
664,3 BHK in Kulattur,"Standalone Building, Kovilambakkam Pmd Nagar Near Vijay Raja Thir ...",20000,200000,3700,UnFurnished,3-5 years ,All
665,"2 BHK in Sudhirs Lotus, Sholinganallur",Nukampallyam Main Road Near Nest Ippo,12000,50000,741,Semi Furnished,Newly Constructed,Family
666,1 BHK in Taramani,"Standalone Building, Kazhikundram Near Modern Bread Company",6000,35000,250,UnFurnished,>10 years ,All
667,"2 BHK in Nambi Apartment, Porur",Vanagaram Near Sangamam Properties And Porur Toll Plaza,10000,100000,888,UnFurnished,5-10 years ,All
668,1 BHK in Mugalivakkam,"Independent House, Cross Street Kamala Nagar, Near Deshmaa Garden ...",7000,25000,600,UnFurnished,Newly Constructed,Family
669,"2 BHK in Rohini Homes, Velachery","Velachery Main Rd Indira Gandhi Nagar, Near Starbucks And Relianc ...",15000,90000,900,Semi Furnished,1-3 years ,Family
670,1 RK in Medavakkam,"Standalone Building, Vaishnavi Nagar, Near Sangeetha Veg Restaura ...",4500,10000,250,UnFurnished,3-5 years ,Bachelors
671,"2 BHK in bethel house, Choolaimedu",Gandhi Road Near Dav Matric Higher Secondary School,15000,100000,600,Semi Furnished,>10 years ,Family
672,"1 RK in Standalone Buliding, Ponniammanmedu",Ganapathy Sava Nagar Near Chennai Rto (north),3500,30000,300,UnFurnished,5-10 years ,Bachelors
673,2 BHK in Oragadam,"Independent House, Vedachalam Street, Near Ipc Church",5000,25000,600,UnFurnished,3-5 years ,All
674,"1 BHK in Surya Flats, Thiruvanmiyur","Thiruvalluvar Nagar, Near Rto Thiruvanmiyur",10000,60000,400,UnFurnished,>10 years ,All
675,2 BHK in Medavakkam,"Independent House, Veerabhadra Nagar 2nd St, Near Zigma Matricula ...",10000,50000,900,UnFurnished,1-3 years ,Family
676,3 BHK in Medavakkam,"Independent House, Bhel Nagar, Bhuvaneshwari Maligai Kadai - Muth ...",35000,210000,2900,Semi Furnished,5-10 years ,Family
677,"1 BHK in Cowl Bazar, Pozhichalur","Independent House, Cowl Bazar, Naer Bbcl Harshika",5000,50000,500,Semi Furnished,1-3 years ,Family
678,"3 BHK in Golden Homestead, Chetpet","7th Avenue, Harrington Road, Chetpet, Chennai, Tamil Nadu, India. ...",150000,1500000,2531,Semi Furnished,1-3 years ,All
679,"4+ BHK in Golden Altius, Anna Nagar","4th Avenue, Anna Nagar, Chennai-600040, Tamil Nadu, India.",100000,1000000,3030,Full Furnished,1-3 years ,All
680,3 BHK in Mogappair West,"Standalone Building, Bharathi Salai Near Buhari",20000,200000,1300,Semi Furnished,5-10 years ,Family
681,1 BHK in Adambakkam,"Independent House, Mahalakshmi Nagar East Extn 2nd Street Near G. ...",11500,60000,750,UnFurnished,5-10 years ,Family
682,"1 BHK in jonata elite, Anakaputhur","Gouri Nagar, Opp Velco Theatre",-,350000,412,UnFurnished,Newly Constructed,Family
683,2 BHK in Aminjikarai,"Independent House, Ayyavoo Colony Near M.r. Hospital",14000,75000,560,UnFurnished,>10 years ,All
684,"2 BHK in stand, Anna Nagar","J Block, Vaigai Colony, Near Shri Krishnaswamy Matriculation Hig ...",20000,200000,900,Semi Furnished,Newly Constructed,All
685,"1 BHK in DK Builders, Perumbakkam","Soumya Nagar, 21st St, Near Heritage Fresh",9500,50000,580,Semi Furnished,1-3 years ,All
686,"2 BHK in Navin'S Silver Oak, Saidapet","Block No 4, Venkatapuram, Srinagar Colony, Saidapet, Chennai 6000 ...",22000,168000,800,Full Furnished,5-10 years ,Family
687,3 BHK in Pammal,"Standalone Building, Gandhi Main Road Near Meenakshi Krishnan Pol ...",15000,90000,1300,UnFurnished,Newly Constructed,Family
688,2 BHK in Korattur,"Standalone Building, Annai Nagar Rd, Behind Mohan Garden",12000,100000,1100,Semi Furnished,Newly Constructed,All
689,2 BHK in Madipakkam,"Independent House, Balaiah Garden, Kumaran Street, Near Kings Mat ...",16000,75000,1000,UnFurnished,>10 years ,Family
690,2 BHK in Kottivakkam,"Independent House, Venkatesapuram Near Kfc",10000,30000,900,UnFurnished,>10 years ,Bachelors
691,"3 BHK in PUSHA VILAS, Anna Nagar East","6th Ave, Block K, Near Bougainvillea Park",22000,110000,1040,Semi Furnished,>10 years ,Family
692,3 BHK in Iyyappanthangal,"Independent House, Vgn Nagar Main Rd Near Iyyappanthangal Bus Dep ...",10000,50000,1450,Semi Furnished,Newly Constructed,All
693,"2 BHK in Asta Avm, Ottagapalayam","Avm Studios Complex, Arcot Rd, Ottagapalayam, Vadapalani",25000,150000,980,Semi Furnished,Newly Constructed,Family
694,"2 BHK in Acon Athma, Madipakkam",Medavakkam Main Rd Near Adyar Ananda Bhavan,12000,40000,900,Semi Furnished,1-3 years ,Family
695,1 BHK in Tambaram,"Standalone Building, Ramanar St, Anna Nagar, Near Nsn Memorial Sc ...",8000,48000,600,UnFurnished,5-10 years ,Family
696,"3 BHK in Urban Tree Oxygen, Perumbakkam","Nookampalayam Road, Off Gandhi Nagar Society Main Road, Perumbakk ...",20000,120000,1548,Semi Furnished,Newly Constructed,All
697,"3 BHK in Bbcl Ashraya, Thoraipakkam","Pillaiyar Koil Street, Thoraipakkam, Omr, Chennai , Tamil Nadu, I ...",25000,100000,1356,Semi Furnished,Newly Constructed,Family
698,"2 BHK in Ganpath Apartment, West Mambalam",Arya Gowda Rd Near Shobana Kalyana Mandapam,20000,150000,1000,Semi Furnished,>10 years ,All
699,1 BHK in Villivakkam,"Standalone Building, Sidco Nagar, 12th Street Near Villivakkamfir ...",4500,45000,500,UnFurnished,>10 years ,Company
700,2 BHK in Kolathur,"Standalone Building, Vinayagapuram, Near Rc Prince Gardenia",9000,90000,890,Semi Furnished,3-5 years ,Family
701,"2 BHK in Hakaria Apartment, George Town","Nattu Pillayar Kovil St, Near C5 Kotwal Chavadi Police Station",21000,200000,1000,Semi Furnished,1-3 years ,Family
702,"2 BHK in A.R.Flats Anu Homes, Kodambakkam",Dr.subbaraya Nagar Near Dhanalakshmi Bank Atm & Petrol Bunk,15000,100000,735,Semi Furnished,>10 years ,All
703,2 BHK in Madhavaram,"Independent House, Venugopal Nagar, Near Agarsen College",10000,100000,1000,Semi Furnished,Newly Constructed,All
